case_id,activity,timestamp,resource,batch_size
BATCH_00009,Raw Material Arrival,2023-09-30 18:10:31.163079,Worker B,3741
BATCH_00009,Quality Check (Raw Material),2023-09-30 18:53:44.337328,Worker B,3741
BATCH_00009,Storage (Raw Material),2023-09-30 19:50:12.736591,Worker B,3741
BATCH_00009,Material Allocation,2023-09-30 20:23:38.482331,Machine Y,3741
BATCH_00009,Production Batch Start,2023-10-01 00:00:00.000000,Machine X,3741
BATCH_00009,In-Process Quality Check,2023-10-01 01:20:49.378586,Machine X,3741
BATCH_00009,Assembly/Packaging,2023-10-01 03:43:39.419491,Machine X,3741
BATCH_00009,Final Quality Check,2023-10-01 04:51:34.628728,Worker B,3741
BATCH_00009,Storage (Finished Goods),2023-10-01 06:51:59.158857,Machine X,3741
BATCH_00009,REWORK_Order Fulfillment,2023-10-01 07:21:37.835909,Worker A,3741
BATCH_00009,Order Fulfillment,2023-10-01 07:58:09.173364,Machine X,3741
BATCH_00009,Shipment,2023-10-01 08:15:47.453757,Machine X,3741
BATCH_00010,Raw Material Arrival,2023-09-30 17:45:32.402209,Machine Y,3698
BATCH_00010,Raw Material Arrival,2023-09-30 18:10:23.591733,Warehouse Staff 1,3698
BATCH_00010,Quality Check (Raw Material),2023-09-30 18:28:11.925596,Machine Y,3698
BATCH_00010,Storage (Raw Material),2023-09-30 19:02:40.707939,Worker B,3698
BATCH_00010,Material Allocation,2023-09-30 19:41:10.327628,Worker B,3698
BATCH_00010,Production Batch Start,2023-10-01 00:00:00.000000,Worker B,3698
BATCH_00010,In-Process Quality Check,2023-10-01 01:24:39.846511,Machine Y,3698
BATCH_00010,REWORK_Assembly/Packaging,2023-10-01 04:16:19.295563,Worker B,3698
BATCH_00010,REWORK_Assembly/Packaging,2023-10-01 07:51:29.422081,Warehouse Staff 1,3698
BATCH_00010,Assembly/Packaging,2023-10-01 09:02:35.658609,Warehouse Staff 1,3698
BATCH_00010,REWORK_Final Quality Check,2023-10-01 09:30:10.835392,Machine Y,3698
BATCH_00010,Final Quality Check,2023-10-01 10:07:50.996405,Machine X,3698
BATCH_00010,Storage (Finished Goods),2023-10-01 12:50:17.281323,Worker B,3698
BATCH_00010,Order Fulfillment,2023-10-01 15:13:03.967474,Machine X,3698
BATCH_00010,Shipment,2023-10-01 15:33:05.813879,Machine Y,3698
BATCH_00011,Raw Material Arrival,2023-09-30 20:45:12.901548,Machine Y,611
BATCH_00011,Raw Material Arrival,2023-09-30 20:50:29.401340,Worker B,611
BATCH_00011,Quality Check (Raw Material),2023-09-30 21:13:48.915848,Machine Y,611
BATCH_00011,Storage (Raw Material),2023-09-30 22:34:08.505151,Machine X,611
BATCH_00011,REWORK_Material Allocation,2023-09-30 23:03:09.200154,Warehouse Staff 1,611
BATCH_00011,Quality Check (Raw Material),2023-09-30 23:23:48.734217,Machine Y,611
BATCH_00011,Production Batch Start,2023-10-01 00:00:00.000000,Machine X,611
BATCH_00011,Storage (Raw Material),2023-10-01 00:17:29.252432,Worker B,611
BATCH_00011,Material Allocation,2023-10-01 00:38:16.136053,Warehouse Staff 1,611
BATCH_00011,In-Process Quality Check,2023-10-01 01:04:29.751910,Machine X,611
BATCH_00011,Assembly/Packaging,2023-10-01 02:11:56.407603,Worker A,611
BATCH_00011,Final Quality Check,2023-10-01 03:04:17.823654,Worker B,611
BATCH_00011,Storage (Finished Goods),2023-10-01 04:55:13.790970,Machine Y,611
BATCH_00011,REWORK_Order Fulfillment,2023-10-01 05:54:05.369288,Worker A,611
BATCH_00011,Order Fulfillment,2023-10-01 08:11:37.965723,Worker A,611
BATCH_00011,Shipment,2023-10-01 09:00:41.383033,Machine Y,611
BATCH_00012,Raw Material Arrival,2023-09-30 13:38:36.765269,Machine X,3436
BATCH_00012,Raw Material Arrival,2023-09-30 13:57:25.114442,Warehouse Staff 1,3436
BATCH_00012,Quality Check (Raw Material),2023-09-30 14:43:07.657274,Warehouse Staff 1,3436
BATCH_00012,Storage (Raw Material),2023-09-30 15:35:13.529265,Worker B,3436
BATCH_00012,Material Allocation,2023-09-30 16:12:17.693103,Machine X,3436
BATCH_00012,Production Batch Start,2023-10-01 00:00:00.000000,Worker B,3436
BATCH_00012,In-Process Quality Check,2023-10-01 00:25:28.893263,Worker A,3436
BATCH_00012,Assembly/Packaging,2023-10-01 04:57:53.309441,Worker B,3436
BATCH_00012,Final Quality Check,2023-10-01 05:34:04.053578,Machine X,3436
BATCH_00012,Storage (Finished Goods),2023-10-01 07:36:13.818646,Machine Y,3436
BATCH_00012,Order Fulfillment,2023-10-01 08:23:07.892188,Warehouse Staff 1,3436
BATCH_00012,Shipment,2023-10-01 08:52:36.622854,Worker B,3436
BATCH_00013,Raw Material Arrival,2023-09-30 17:30:08.400297,Worker B,1560
BATCH_00013,Raw Material Arrival,2023-09-30 17:58:17.472777,Worker B,1560
BATCH_00013,Quality Check (Raw Material),2023-09-30 18:41:52.318484,Worker B,1560
BATCH_00013,Storage (Raw Material),2023-09-30 19:31:43.099431,Machine Y,1560
BATCH_00013,Material Allocation,2023-09-30 20:07:47.716104,Machine Y,1560
BATCH_00013,Production Batch Start,2023-10-01 00:00:00.000000,Worker B,1560
BATCH_00013,REWORK_In-Process Quality Check,2023-10-01 01:14:27.669941,Worker A,1560
BATCH_00013,In-Process Quality Check,2023-10-01 01:53:11.010580,Worker A,1560
BATCH_00013,REWORK_Assembly/Packaging,2023-10-01 03:01:56.894325,Machine X,1560
BATCH_00013,Assembly/Packaging,2023-10-01 04:07:48.038164,Worker B,1560
BATCH_00013,Final Quality Check,2023-10-01 04:46:23.881565,Warehouse Staff 1,1560
BATCH_00013,Storage (Finished Goods),2023-10-01 05:53:39.940537,Warehouse Staff 1,1560
BATCH_00013,Order Fulfillment,2023-10-01 07:46:43.654112,Worker A,1560
BATCH_00013,Shipment,2023-10-01 08:06:50.941612,Worker A,1560
BATCH_00014,Raw Material Arrival,2023-09-30 20:52:29.884720,Warehouse Staff 1,2563
BATCH_00014,Raw Material Arrival,2023-09-30 21:09:27.026785,Worker B,2563
BATCH_00014,Quality Check (Raw Material),2023-09-30 22:03:41.910255,Warehouse Staff 1,2563
BATCH_00014,Storage (Raw Material),2023-09-30 22:51:31.079119,Warehouse Staff 1,2563
BATCH_00014,Material Allocation,2023-09-30 23:13:50.311734,Warehouse Staff 1,2563
BATCH_00014,Production Batch Start,2023-10-01 00:00:00.000000,Worker B,2563
BATCH_00014,In-Process Quality Check,2023-10-01 00:37:00.623950,Worker A,2563
BATCH_00014,Assembly/Packaging,2023-10-01 03:50:11.440257,Warehouse Staff 1,2563
BATCH_00014,REWORK_Final Quality Check,2023-10-01 04:15:52.787769,Worker A,2563
BATCH_00014,Final Quality Check,2023-10-01 04:49:43.084399,Machine Y,2563
BATCH_00014,Storage (Finished Goods),2023-10-01 06:12:12.721037,Worker A,2563
BATCH_00014,Order Fulfillment,2023-10-01 06:50:52.370118,Machine Y,2563
BATCH_00014,Shipment,2023-10-01 07:31:47.883359,Warehouse Staff 1,2563
BATCH_00015,Raw Material Arrival,2023-09-30 13:16:54.596010,Worker A,3557
BATCH_00015,Raw Material Arrival,2023-09-30 13:42:37.711739,Machine Y,3557
BATCH_00015,Quality Check (Raw Material),2023-09-30 14:25:47.990395,Worker B,3557
BATCH_00015,Storage (Raw Material),2023-09-30 15:23:31.790480,Machine Y,3557
BATCH_00015,Material Allocation,2023-09-30 15:50:14.636086,Machine X,3557
BATCH_00015,Production Batch Start,2023-10-01 00:00:00.000000,Worker A,3557
BATCH_00015,In-Process Quality Check,2023-10-01 00:20:51.851633,Machine Y,3557
BATCH_00015,Assembly/Packaging,2023-10-01 05:15:01.529655,Machine X,3557
BATCH_00015,Final Quality Check,2023-10-01 06:08:06.699750,Machine X,3557
BATCH_00015,Storage (Finished Goods),2023-10-01 07:35:14.189142,Warehouse Staff 1,3557
BATCH_00015,Order Fulfillment,2023-10-01 09:32:31.107750,Warehouse Staff 1,3557
BATCH_00015,Shipment,2023-10-01 09:49:21.366167,Machine Y,3557
BATCH_00016,Raw Material Arrival,2023-09-30 14:45:23.625149,Worker A,3336
BATCH_00016,Raw Material Arrival,2023-09-30 15:05:55.971377,Machine X,3336
BATCH_00016,Quality Check (Raw Material),2023-09-30 15:45:44.234237,Machine Y,3336
BATCH_00016,Storage (Raw Material),2023-09-30 16:38:40.379440,Warehouse Staff 1,3336
BATCH_00016,Material Allocation,2023-09-30 16:55:47.999903,Machine Y,3336
BATCH_00016,Production Batch Start,2023-10-01 00:00:00.000000,Warehouse Staff 1,3336
BATCH_00016,In-Process Quality Check,2023-10-01 01:29:59.693324,Machine Y,3336
BATCH_00016,Assembly/Packaging,2023-10-01 05:38:55.561282,Worker B,3336
BATCH_00016,Final Quality Check,2023-10-01 06:36:40.868852,Machine Y,3336
BATCH_00016,Storage (Finished Goods),2023-10-01 08:02:44.950667,Warehouse Staff 1,3336
BATCH_00016,Order Fulfillment,2023-10-01 09:31:24.640580,Worker A,3336
BATCH_00016,Shipment,2023-10-01 09:50:08.508774,Worker A,3336
BATCH_00017,Raw Material Arrival,2023-09-30 19:07:44.605650,Warehouse Staff 1,2836
BATCH_00017,Raw Material Arrival,2023-09-30 19:29:18.061992,Worker B,2836
BATCH_00017,Quality Check (Raw Material),2023-09-30 19:55:30.715718,Machine X,2836
BATCH_00017,Storage (Raw Material),2023-09-30 20:53:19.471874,Machine X,2836
BATCH_00017,Material Allocation,2023-09-30 21:29:24.714888,Machine Y,2836
BATCH_00017,Production Batch Start,2023-10-01 00:00:00.000000,Machine Y,2836
BATCH_00017,REWORK_In-Process Quality Check,2023-10-01 01:27:30.627094,Machine Y,2836
BATCH_00017,In-Process Quality Check,2023-10-01 02:17:18.485264,Machine X,2836
BATCH_00017,Assembly/Packaging,2023-10-01 06:56:25.064445,Worker A,2836
BATCH_00017,REWORK_Final Quality Check,2023-10-01 07:43:28.792504,Worker B,2836
BATCH_00017,REWORK_Final Quality Check,2023-10-01 08:13:24.584474,Worker A,2836
BATCH_00017,Final Quality Check,2023-10-01 09:03:54.401384,Machine Y,2836
BATCH_00017,Storage (Finished Goods),2023-10-01 10:57:14.454689,Worker A,2836
BATCH_00017,Order Fulfillment,2023-10-01 11:21:16.499914,Warehouse Staff 1,2836
BATCH_00017,Shipment,2023-10-01 11:49:44.753529,Worker A,2836
BATCH_00018,Raw Material Arrival,2023-09-30 19:25:55.040373,Worker A,3526
BATCH_00018,Raw Material Arrival,2023-09-30 19:46:47.323069,Worker B,3526
BATCH_00018,REWORK_Quality Check (Raw Material),2023-09-30 20:32:10.082576,Machine Y,3526
BATCH_00018,Raw Material Arrival,2023-09-30 20:40:11.155519,Warehouse Staff 1,3526
BATCH_00018,Quality Check (Raw Material),2023-09-30 21:11:49.167959,Worker B,3526
BATCH_00018,Storage (Raw Material),2023-09-30 21:50:27.281773,Warehouse Staff 1,3526
BATCH_00018,Material Allocation,2023-09-30 22:01:58.025392,Machine Y,3526
BATCH_00018,Production Batch Start,2023-10-01 00:00:00.000000,Machine X,3526
BATCH_00018,In-Process Quality Check,2023-10-01 00:47:30.664991,Warehouse Staff 1,3526
BATCH_00018,Assembly/Packaging,2023-10-01 04:47:52.791738,Warehouse Staff 1,3526
BATCH_00018,Final Quality Check,2023-10-01 05:48:52.490348,Warehouse Staff 1,3526
BATCH_00018,Storage (Finished Goods),2023-10-01 08:13:39.827718,Machine Y,3526
BATCH_00018,Order Fulfillment,2023-10-01 08:57:08.546266,Warehouse Staff 1,3526
BATCH_00018,Shipment,2023-10-01 09:52:35.254793,Worker A,3526
BATCH_00019,Raw Material Arrival,2023-09-30 15:35:06.706653,Machine X,4823
BATCH_00019,Raw Material Arrival,2023-09-30 15:57:17.377708,Worker A,4823
BATCH_00019,Quality Check (Raw Material),2023-09-30 16:51:23.917695,Worker B,4823
BATCH_00019,Storage (Raw Material),2023-09-30 18:06:54.384949,Worker A,4823
BATCH_00019,Material Allocation,2023-09-30 18:45:14.846413,Warehouse Staff 1,4823
BATCH_00019,Production Batch Start,2023-10-01 00:00:00.000000,Worker B,4823
BATCH_00019,REWORK_In-Process Quality Check,2023-10-01 01:20:28.318387,Worker B,4823
BATCH_00019,In-Process Quality Check,2023-10-01 02:09:25.996190,Warehouse Staff 1,4823
BATCH_00019,Assembly/Packaging,2023-10-01 06:20:44.472976,Worker B,4823
BATCH_00019,Final Quality Check,2023-10-01 06:42:50.304983,Machine Y,4823
BATCH_00019,Storage (Finished Goods),2023-10-01 07:48:03.651922,Warehouse Staff 1,4823
BATCH_00019,Order Fulfillment,2023-10-01 09:56:13.510340,Worker B,4823
BATCH_00019,Shipment,2023-10-01 10:19:08.837803,Warehouse Staff 1,4823
BATCH_00020,Raw Material Arrival,2023-09-30 15:51:37.738400,Machine Y,4391
BATCH_00020,Raw Material Arrival,2023-09-30 16:08:28.774778,Worker A,4391
BATCH_00020,REWORK_Quality Check (Raw Material),2023-09-30 16:48:21.890165,Worker B,4391
BATCH_00020,Raw Material Arrival,2023-09-30 16:57:38.562322,Machine X,4391
BATCH_00020,REWORK_Quality Check (Raw Material),2023-09-30 17:13:47.538312,Machine Y,4391
BATCH_00020,Raw Material Arrival,2023-09-30 17:43:31.482806,Machine X,4391
BATCH_00020,Quality Check (Raw Material),2023-09-30 18:18:04.010823,Machine X,4391
BATCH_00020,Storage (Raw Material),2023-09-30 19:24:40.323835,Worker B,4391
BATCH_00020,Material Allocation,2023-09-30 19:38:24.017774,Warehouse Staff 1,4391
BATCH_00020,Production Batch Start,2023-10-01 00:00:00.000000,Machine X,4391
BATCH_00020,In-Process Quality Check,2023-10-01 01:29:03.899401,Machine Y,4391
BATCH_00020,Assembly/Packaging,2023-10-01 04:26:40.077420,Machine X,4391
BATCH_00020,REWORK_Final Quality Check,2023-10-01 05:16:43.162968,Worker B,4391
BATCH_00020,REWORK_Final Quality Check,2023-10-01 05:51:17.933956,Warehouse Staff 1,4391
BATCH_00020,Final Quality Check,2023-10-01 06:12:26.060069,Machine Y,4391
BATCH_00020,Storage (Finished Goods),2023-10-01 08:22:09.399754,Machine X,4391
BATCH_00020,Order Fulfillment,2023-10-01 09:16:15.151719,Machine X,4391
BATCH_00020,Shipment,2023-10-01 09:42:41.045858,Warehouse Staff 1,4391
BATCH_00021,Raw Material Arrival,2023-09-30 15:28:16.692441,Machine X,3778
BATCH_00021,Raw Material Arrival,2023-09-30 15:43:32.842721,Warehouse Staff 1,3778
BATCH_00021,Quality Check (Raw Material),2023-09-30 16:25:11.987787,Warehouse Staff 1,3778
BATCH_00021,Storage (Raw Material),2023-09-30 17:16:26.170354,Machine Y,3778
BATCH_00021,Material Allocation,2023-09-30 17:46:53.503161,Machine Y,3778
BATCH_00021,Production Batch Start,2023-10-01 00:00:00.000000,Machine Y,3778
BATCH_00021,In-Process Quality Check,2023-10-01 00:57:17.448400,Machine Y,3778
BATCH_00021,Assembly/Packaging,2023-10-01 02:51:18.341294,Machine X,3778
BATCH_00021,Final Quality Check,2023-10-01 04:03:52.976781,Machine Y,3778
BATCH_00021,Storage (Finished Goods),2023-10-01 06:04:51.251511,Worker A,3778
BATCH_00021,Order Fulfillment,2023-10-01 06:54:46.547403,Machine X,3778
BATCH_00021,Shipment,2023-10-01 07:36:47.894009,Worker B,3778
BATCH_00022,Raw Material Arrival,2023-09-30 16:18:57.070831,Warehouse Staff 1,2921
BATCH_00022,Raw Material Arrival,2023-09-30 16:46:36.584477,Warehouse Staff 1,2921
BATCH_00022,Quality Check (Raw Material),2023-09-30 17:04:37.598149,Worker B,2921
BATCH_00022,Storage (Raw Material),2023-09-30 18:48:03.927895,Warehouse Staff 1,2921
BATCH_00022,REWORK_Material Allocation,2023-09-30 19:09:05.165000,Worker A,2921
BATCH_00022,REWORK_Quality Check (Raw Material),2023-09-30 19:40:34.856110,Machine X,2921
BATCH_00022,Raw Material Arrival,2023-09-30 19:59:22.383724,Warehouse Staff 1,2921
BATCH_00022,REWORK_Quality Check (Raw Material),2023-09-30 20:27:44.459610,Worker B,2921
BATCH_00022,Raw Material Arrival,2023-09-30 20:42:07.236033,Warehouse Staff 1,2921
BATCH_00022,Quality Check (Raw Material),2023-09-30 21:37:30.636918,Warehouse Staff 1,2921
BATCH_00022,Storage (Raw Material),2023-09-30 22:36:28.679877,Worker A,2921
BATCH_00022,Material Allocation,2023-09-30 22:46:56.154953,Warehouse Staff 1,2921
BATCH_00022,Production Batch Start,2023-10-01 00:00:00.000000,Worker A,2921
BATCH_00022,In-Process Quality Check,2023-10-01 00:47:03.706715,Machine X,2921
BATCH_00022,Assembly/Packaging,2023-10-01 05:36:36.048509,Machine X,2921
BATCH_00022,Final Quality Check,2023-10-01 06:11:59.966025,Machine X,2921
BATCH_00022,Storage (Finished Goods),2023-10-01 07:32:12.760061,Machine X,2921
BATCH_00022,Order Fulfillment,2023-10-01 09:46:41.264371,Machine Y,2921
BATCH_00022,Shipment,2023-10-01 10:46:36.254704,Worker B,2921
BATCH_00023,Raw Material Arrival,2023-09-30 20:52:09.969437,Machine X,628
BATCH_00023,Raw Material Arrival,2023-09-30 21:20:10.724157,Warehouse Staff 1,628
BATCH_00023,Quality Check (Raw Material),2023-09-30 21:53:29.712551,Worker A,628
BATCH_00023,Storage (Raw Material),2023-09-30 23:20:59.660620,Worker A,628
BATCH_00023,Production Batch Start,2023-10-01 00:00:00.000000,Worker B,628
BATCH_00023,Material Allocation,2023-10-01 00:05:38.826430,Machine Y,628
BATCH_00023,In-Process Quality Check,2023-10-01 01:06:37.693794,Machine X,628
BATCH_00023,Assembly/Packaging,2023-10-01 05:22:37.367168,Worker A,628
BATCH_00023,REWORK_Final Quality Check,2023-10-01 06:32:21.493119,Worker B,628
BATCH_00023,Final Quality Check,2023-10-01 07:23:06.249738,Machine X,628
BATCH_00023,Storage (Finished Goods),2023-10-01 09:07:03.468487,Worker B,628
BATCH_00023,Order Fulfillment,2023-10-01 10:13:29.910039,Warehouse Staff 1,628
BATCH_00023,Shipment,2023-10-01 10:36:49.098128,Machine Y,628
BATCH_00024,Raw Material Arrival,2023-09-30 18:23:28.249203,Warehouse Staff 1,3021
BATCH_00024,Raw Material Arrival,2023-09-30 18:30:38.963502,Worker A,3021
BATCH_00024,Quality Check (Raw Material),2023-09-30 18:45:50.781729,Warehouse Staff 1,3021
BATCH_00024,Storage (Raw Material),2023-09-30 20:12:59.255362,Warehouse Staff 1,3021
BATCH_00024,Material Allocation,2023-09-30 20:25:55.035069,Machine Y,3021
BATCH_00024,Production Batch Start,2023-10-01 00:00:00.000000,Worker A,3021
BATCH_00024,In-Process Quality Check,2023-10-01 01:29:50.960691,Worker A,3021
BATCH_00024,Assembly/Packaging,2023-10-01 03:27:33.392471,Warehouse Staff 1,3021
BATCH_00024,Final Quality Check,2023-10-01 03:42:56.675795,Worker B,3021
BATCH_00024,Storage (Finished Goods),2023-10-01 05:09:54.235919,Warehouse Staff 1,3021
BATCH_00024,REWORK_Order Fulfillment,2023-10-01 05:32:20.975767,Warehouse Staff 1,3021
BATCH_00024,Order Fulfillment,2023-10-01 06:54:05.676402,Machine Y,3021
